ticker,timeframe,date,future_vol_rmse,future_vol_accuracy,expansionP_accuracy,expansionP_roc_auc
ZEC-USD,hourly,2026-03-06,0.004807005627836173,0.7601931330472103,0.7652896995708155,0.8537640667442762
CC-USD,daily,2026-03-06,0.030036427057492314,0.058823529411764705,1.0,nan
CC-USD,hourly,2026-03-06,0.0025547015714361796,0.6183745583038869,0.7031802120141343,0.8302320928371348
WLFI-USD,daily,2026-03-06,0.010090126022795014,0.967741935483871,0.5161290322580645,0.5
WLFI-USD,hourly,2026-03-06,0.0032962865768483905,0.7508055853920516,0.7851772287862513,0.857560358146721
BGB-USD,daily,2026-03-06,0.008331664831587843,0.7050561797752809,0.7078651685393258,0.8077445877399463
BGB-USD,hourly,2026-03-06,0.0024066973724158813,0.684788157223073,0.7575293517100562,0.8477431475441579
TAO-USD,daily,2026-03-06,0.011346318364805735,0.7123893805309734,0.6548672566371682,0.8085140306122449
TAO-USD,hourly,2026-03-06,0.0033662162341788924,0.7250985545335086,0.7755584756898818,0.8645038963667082
OKB-USD,daily,2026-03-06,0.02235068384400569,0.7672253258845437,0.8044692737430168,0.8955624646693046
OKB-USD,hourly,2026-03-06,0.006296207924084177,0.7539845758354756,0.7616966580976864,0.8482711202785725
M-USD,daily,2026-03-06,0.025531255217218645,0.7111111111111111,0.5777777777777777,0.9463562753036437
M-USD,hourly,2026-03-06,0.0037108214320888387,0.6847649918962723,0.7747163695299838,0.8720076391056057
ETC-USD,daily,2026-03-06,0.009940935093301885,0.7548076923076923,0.7211538461538461,0.8294073533792877
ETC-USD,hourly,2026-03-06,0.004621577816832074,0.7623058699657804,0.7891550408002106,0.8792319344080044
PI-USD,daily,2026-03-06,0.010639498218574043,0.7222222222222222,0.3888888888888889,0.5
PI-USD,hourly,2026-03-06,0.002220728174388272,0.6689497716894978,0.726027397260274,0.8273076862667078
PAXG-USD,daily,2026-03-06,0.005363030037028309,0.747534516765286,0.7396449704142012,0.8246400050304974
PAXG-USD,hourly,2026-03-06,0.0020980157078610844,0.7462532299741602,0.7906976744186046,0.879527644099017
ICP-USD,daily,2026-03-06,0.014378994664843972,0.7796610169491526,0.788135593220339,0.8794162826420892
ICP-USD,hourly,2026-03-06,0.003917108794216902,0.7569573283858998,0.782136231115823,0.8695105410593609
KCS-USD,daily,2026-03-06,0.00778635575515713,0.7085271317829457,0.8077519379844961,0.8701521319905721
KCS-USD,hourly,2026-03-06,0.0022411675448249656,0.7485076563716585,0.7812094471840124,0.8717165935254085
NIGHT-USD,daily,2026-03-06,0.0360364373660253,0.5454545454545454,0.0,nan
NIGHT-USD,hourly,2026-03-06,0.002488524785290144,0.7222222222222222,0.7688888888888888,0.8716165679516465
SKY-USD,daily,2026-03-06,0.009496868476331244,0.7722772277227723,0.7425742574257426,0.8360064153969528
SKY-USD,hourly,2026-03-06,0.002456749628425219,0.7349726775956285,0.7689305230288837,0.8594744512110939
WLD-USD,daily,2026-03-06,0.017434474224180933,0.743421052631579,0.7368421052631579,0.8524525833878351
WLD-USD,hourly,2026-03-06,0.005264274581504569,0.7278628927551285,0.7901843676967022,0.8757085097145338
KAS-USD,daily,2026-03-06,0.010959593032526709,0.7464788732394366,0.7887323943661971,0.845046439628483
KAS-USD,hourly,2026-03-06,0.004188299711763567,0.7456852791878172,0.7774111675126903,0.8613150692005783
ONDO-USD,daily,2026-03-06,0.011570611689040932,0.8157894736842105,0.8026315789473685,0.8431476569407604
ONDO-USD,hourly,2026-03-06,0.004031730552975902,0.7333160889808588,0.7664252457320228,0.8637778814409248
ARB-USD,daily,2026-03-06,0.014412161257024962,0.7466666666666667,0.7511111111111111,0.8408403628839728
ARB-USD,hourly,2026-03-06,0.004484556614220778,0.7660574412532637,0.7882506527415144,0.8727459927922262
ALGO-USD,daily,2026-03-06,0.010802639406245186,0.7544204322200393,0.7583497053045186,0.8593904397233202
ALGO-USD,hourly,2026-03-06,0.0030272063845931513,0.7430555555555556,0.7829218106995884,0.866118790982543
XDC-USD,daily,2026-03-06,0.013821811994600171,0.6893203883495146,0.7766990291262136,0.8628097946019353
XDC-USD,hourly,2026-03-06,0.0023476634208758696,0.772020725388601,0.783160621761658,0.869892818692952
MYX-USD,daily,2026-03-06,0.04314429724912295,0.7457627118644068,0.864406779661017,0.8384520884520885
MYX-USD,hourly,2026-03-06,0.007066711245168213,0.7058823529411765,0.7711700064641241,0.8427663064617049
